,bodystyleName,sellerId,customerId,isCpoVehicle,price,listingId,mkId,mkNm,mdId,mdNm,trimId,trimName,modelYearId,modelYear,stkTyp,state,zipcode,link,mileage,priceScore,mileageScore,modelYearScore,totalScore
24,Coupe,436995,98562,FALSE,14994,832711950,20017,Honda,20823,Civic,24309,LX-P,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/832711950/overview/,15768,0.225806452,0.909090909,0.928571429,0.68782293
26,Sedan,464752,185429,FALSE,14405,822001588,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/822001588/overview/,29530,0.290322581,0.818181818,0.928571429,0.679025276
48,Sedan,436131,7822,FALSE,15931,838376076,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376076/overview/,12931,0.193548387,0.909090909,0.928571429,0.677070242
32,Sedan,465813,186856,TRUE,15750,837059205,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837059205/overview/,19396,0.193548387,0.909090909,0.928571429,0.677070242
49,Sedan,436131,7822,FALSE,16131,837521606,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837521606/overview/,16009,0.161290323,0.909090909,0.928571429,0.666317553
39,Sedan,465813,186856,TRUE,15980,836784939,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836784939/overview/,6284,0.161290323,0.909090909,0.928571429,0.666317553
90,Sedan,438634,7555,FALSE,15995,836688050,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836688050/overview/,14277,0.161290323,0.909090909,0.928571429,0.666317553
16,Sedan,439536,7978,FALSE,16732,837046937,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837046937/overview/,16642,0.129032258,0.909090909,0.928571429,0.655564865
62,Sedan,414031,7961,TRUE,16792,838155736,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838155736/overview/,12617,0.129032258,0.909090909,0.928571429,0.655564865
63,Sedan,414031,7961,TRUE,16792,837756812,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837756812/overview/,14701,0.129032258,0.909090909,0.928571429,0.655564865
51,Sedan,436131,7822,FALSE,16531,836335244,20017,Honda,20823,Civic,24369,LX,36362520,2019,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836335244/overview/,23749,0.129032258,0.818181818,1,0.649071359
13,Coupe,2353960,198904,FALSE,16900,836509298,20017,Honda,20823,Civic,24369,LX,36362520,2019,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836509298/overview/,29878,0.129032258,0.818181818,1,0.649071359
31,Sedan,465813,186856,TRUE,15740,837059212,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837059212/overview/,34850,0.193548387,0.818181818,0.928571429,0.646767211
22,Sedan,436995,98562,FALSE,15599,837073766,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837073766/overview/,31102,0.193548387,0.818181818,0.928571429,0.646767211
50,Sedan,436131,7822,FALSE,15931,838376186,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376186/overview/,35885,0.193548387,0.818181818,0.928571429,0.646767211
68,Sedan,414031,7961,TRUE,14799,825052462,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/825052462/overview/,31145,0.258064516,0.818181818,0.857142857,0.644463064
